index,sentence,label,positive_prob,negative_prob
0,hide new secretions from the parental units ,0,0.999400984760355,0.0005990152396450009
1,"contains no wit , only labored gags ",0,0.9257687268913797,0.07423127310862031
2,that loves its characters and communicates something rather beautiful about human nature ,1,0.14137839369156505,0.858621606308435
3,remains utterly satisfied to remain the same throughout ,0,0.9844648792699884,0.0155351207300116
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,0.9318757997950429,0.06812420020495707
5,that 's far too tragic to merit such superficial treatment ,0,0.974100330453362,0.025899669546638016
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,0.02408139578706834,0.9759186042129316
7,of saucy ,1,0.5,0.5
8,a depressed fifteen-year-old 's suicidal poetry ,0,0.7926534938111996,0.20734650618880032
9,are more deeply thought through than in most ` right-thinking ' films ,1,0.0031730803445996028,0.9968269196554004
10,goes to absurd lengths ,0,0.9614814559092588,0.038518544090741125
11,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,0.9996661576494404,0.0003338423505595127
12,"the part where nothing 's happening , ",0,0.9549235397795317,0.0450764602204683
13,saw how bad this movie was ,0,0.435867120085334,0.564132879914666
14,lend some dignity to a dumb story ,0,0.9979029840515438,0.002097015948456264
15,the greatest musicians ,1,0.01963183366391021,0.9803681663360898
16,cold movie ,0,0.8277419166152387,0.17225808338476137
17,with his usual intelligence and subtlety ,1,0.030470351686279474,0.9695296483137206
18,redundant concept ,0,0.6718671384069588,0.3281328615930412
19,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,0.10812544982843528,0.8918745501715647
20,equals the original and in some ways even betters it ,1,0.043502534010838756,0.9564974659891612
21,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,0.00025608017116842763,0.9997439198288316
22,a smile on your face ,1,0.378425449160275,0.621574550839725
23,"comes from the brave , uninhibited performances ",1,0.05252840841489833,0.9474715915851016
24,excruciatingly unfunny and pitifully unromantic ,0,0.07803698664360481,0.9219630133563952
25,enriched by an imaginatively mixed cast of antic spirits ,1,0.02026077356796518,0.9797392264320348
26,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,0.9997953321460907,0.00020466785390931425
27,in world cinema ,1,0.5,0.5
28,very good viewing alternative ,1,0.812879331515574,0.187120668484426
29,"the plot is nothing but boilerplate clichés from start to finish , ",0,0.28007197473875367,0.7199280252612463
30,the action is stilted ,0,0.07772353425021938,0.9222764657497806
31,on all cylinders ,1,0.5,0.5
32,"will find little of interest in this film , which is often preachy and poorly acted ",0,0.9790081572539884,0.020991842746011676
33,by far the worst movie of the year ,0,0.020995460221243434,0.9790045397787566
34,"sit through , ",0,0.5,0.5
35,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,0.023889089178713994,0.976110910821286
36,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,0.0043665363761923376,0.9956334636238077
37,heroes ,1,0.5,0.5
38,oblivious to the existence of this film ,0,0.9996564307828841,0.0003435692171159051
39,sharply ,1,0.5,0.5
40,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,0.9965155213539255,0.0034844786460744397
41,sometimes dry ,0,0.9462421846465222,0.05375781535347784
42,"as they come , already having been recycled more times than i 'd care to count ",0,0.9996104552118238,0.00038954478817616823
43,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,0.23501354304906297,0.764986456950937
44,a $ 40 million version of a game ,0,0.5,0.5
45,gorgeous and deceptively minimalist ,1,0.09361074083621768,0.9063892591637823
46,cross swords with the best of them and ,1,0.0013655786783490628,0.9986344213216509
47,as a fringe feminist conspiracy theorist ,0,0.9990647533462963,0.0009352466537037424
48,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,0.0027561964569209276,0.9972438035430791
49,disappointments ,0,0.9899278049578818,0.010072195042118164
50,the horrors ,0,0.9953383760008546,0.0046616239991454185
51,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,0.5,0.5
52,many pointless ,0,0.865356358937541,0.13464364106245902
53,a beautifully ,1,0.12706794952171582,0.8729320504782841
54,"contrived , well-worn situations ",0,0.9589780385758856,0.0410219614241144
55,a doa ,0,0.7704460526810951,0.22955394731890488
56,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,0.9827911176279052,0.01720888237209479
57,to be as subtle and touching as the son 's room ,1,0.005918058931657309,0.9940819410683427
58,starts with a legend ,1,0.01830389015989109,0.9816961098401089
59,far less sophisticated and ,0,0.14759707619713758,0.8524029238028624
60,rich veins of funny stuff in this movie ,1,0.2342468102842146,0.7657531897157854
61,no apparent joy ,0,0.05330655056217515,0.9466934494378249
62,shot on ugly digital video ,0,0.9493183003323792,0.05068169966762083
63,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,0.9988409662425889,0.0011590337574110955
64,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,0.999307571343558,0.0006924286564420894
65,is pretty damned funny . ,1,0.07630315805985269,0.9236968419401473
66,we never feel anything for these characters ,0,0.9440097629907608,0.05599023700923918
67,'s a lousy one at that ,0,0.9990381097274993,0.0009618902725007393
68,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,0.9985766470103571,0.0014233529896429385
69,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,0.06252773693512739,0.9374722630648726
70,of the most highly-praised disappointments i ,0,0.9968039051208724,0.0031960948791276114
71,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,0.9666862512838732,0.03331374871612685
72,seem fresh ,1,0.03766560727995018,0.9623343927200498
73,to the dustbin of history ,0,0.997913587380366,0.0020864126196340066
74,"as a director , eastwood is off his game ",0,0.5065918026044189,0.493408197395581
75,pays earnest homage to turntablists ,1,0.16548465481354466,0.8345153451864553
76,weak and ,0,0.9864128298117054,0.013587170188294572
77,"skip this dreck , ",0,0.7115129715250041,0.28848702847499585
78,contains very few laughs and even less surprises ,0,0.8422575169496143,0.15774248305038568
79,film to affirm love 's power to help people endure almost unimaginable horror ,1,0.0008057328541885187,0.9991942671458115
80,are an absolute joy ,1,0.08871650519183702,0.911283494808163
81,generates ,1,0.5,0.5
82,", like life , is n't much fun without the highs and lows ",1,0.9999039424435694,9.60575564306331e-05
83,based on a true and historically significant story ,1,0.5,0.5
84,well-rounded tribute ,1,0.13764468589594292,0.8623553141040571
85,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,0.9901829965463366,0.009817003453663452
86,so much like a young robert deniro ,1,0.0016569037720516838,0.9983430962279484
87,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,0.03205506739774212,0.9679449326022579
88,fashioning an engrossing entertainment out ,1,0.04636052652222989,0.9536394734777701
89,spiffy animated feature ,1,0.013786906786707732,0.9862130932132923
90,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,0.9987830844207626,0.001216915579237369
91,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,7.39510978470855e-05,0.9999260489021529
92,strung-together moments ,0,0.998383534867402,0.0016164651325980281
93,", generous and subversive artworks ",1,0.0014677810220090435,0.9985322189779909
94,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,8.224546451764842e-05,0.9999177545354824
95,funny yet ,1,0.5,0.5
96,overbearing and over-the-top ,0,0.86581127077131,0.13418872922868993
97,it 's robert duvall ! ,1,0.007117951324540432,0.9928820486754596
98,rich and sudden wisdom ,1,0.015212152736698615,0.9847878472633014
99,"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,0.017824965987077876,0.9821750340129222
